ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,file names
1236,Dumbbell One Arm Row (rack support),Strength,Back,Dumbbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",12361301-Dumbbell-One-Arm-Row-(rack-support)_Back_180.webp
1237,Lever Row (plate loaded),Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",12371301-Lever-Row-(plate-loaded)_Back_180.webp
1238,Cable Seated Row (Bent bar),Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",12381301-Cable-Seated-Row-(Bent-bar)_Back_180.webp
1244,Flutter Kicks (version 3),Strength,Hips,Body weight,Male,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",12441301-Flutter-Kicks-(version-3)_Hips-FIX_180.webp
1245,Lying Leg Raise and Hold,Strength,Hips,Body weight,Male,Iliopsoas,"Quadriceps, Rectus Abdominis",12451301-Lying-Leg-Raise-and-Hold_Hips_180.webp
1247,Russian Twist (with medicine ball),Strength,Waist,Medicine Ball,Male,Obliques,Rectus Abdominis,12471301-Russian-Twist-(with-medicine-ball)_Waist_180.webp
1248,Half Wipers (bent leg),Strength,Waist,Body weight,Male,Obliques,,12481301-Half-Wipers-(bent-leg)_Waist_180.webp
1249,Wipers (straight leg),Strength,Waist,Body weight,Male,Obliques,,12491301-Wipers-(straight-leg)_Waist_180.webp
1253,Lever Donkey Calf Raise,Strength,Calves,Leverage machine,Male,Gastrocnemius,Soleus,12531301-Lever-Donkey-Calf-Raise_Calves_180.webp
1255,Barbell Decline Pullover,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Posterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major",12551301-Barbell-Decline-Pullover_Chest_180.webp
